iter	Passed	Remaining
818	1479	70776
819	1481	70773
820	1482	70762
821	1484	70753
822	1486	70744
823	1487	70737
824	1489	70727
825	1491	70718
826	1493	70735
827	1494	70723
828	1496	70715
829	1497	70677
830	1499	70675
831	1501	70670
832	1502	70661
833	1504	70651
834	1506	70653
835	1508	70650
836	1509	70648
837	1511	70642
838	1513	70635
839	1514	70627
840	1516	70621
841	1518	70616
842	1520	70608
843	1521	70604
844	1522	70538
845	1523	70525
846	1525	70519
847	1527	70514
848	1528	70508
849	1529	70469
850	1531	70467
851	1533	70464
852	1535	70450
853	1536	70453
854	1538	70449
855	1540	70444
856	1542	70438
857	1543	70429
858	1545	70424
859	1547	70420
860	1548	70413
861	1550	70406
862	1552	70401
863	1554	70391
864	1555	70382
865	1557	70376
866	1559	70368
867	1560	70367
868	1562	70361
869	1563	70308
870	1564	70304
871	1566	70292
872	1568	70287
873	1569	70278
874	1571	70274
875	1573	70269
876	1575	70264
877	1576	70261
878	1578	70248
879	1579	70221
880	1581	70215
881	1583	70210
882	1584	70209
883	1586	70200
884	1588	70195
885	1589	70188
886	1591	70181
887	1593	70177
888	1595	70172
889	1596	70148
890	1597	70141
891	1599	70140
892	1601	70134
893	1603	70124
894	1604	70117
895	1606	70117
896	1608	70111
897	1609	70104
898	1611	70101
899	1613	70095
900	1615	70088
901	1616	70081
902	1618	70076
903	1620	70067
904	1621	70062
905	1623	70061
906	1625	70056
907	1627	70050
908	1628	70039
909	1630	70035
910	1632	70032
911	1633	70024
912	1634	69989
913	1636	69983
914	1638	69973
915	1639	69965
916	1641	69956
917	1642	69947
918	1644	69954
919	1646	69951
920	1648	69947
921	1650	69940
922	1652	69941
923	1653	69941
924	1654	69897
925	1656	69895
926	1658	69900
927	1660	69896
928	1661	69888
929	1663	69881
930	1664	69855
931	1666	69846
932	1667	69835
933	1669	69838
934	1671	69832
935	1673	69825
936	1674	69816
937	1676	69809
938	1676	69754
939	1678	69749
940	1680	69742
941	1681	69733
942	1683	69728
943	1685	69723
944	1686	69717
945	1688	69711
946	1690	69702
947	1691	69698
948	1693	69693
949	1695	69685
950	1696	69662
951	1698	69658
952	1699	69617
953	1700	69612
954	1702	69610
955	1704	69603
956	1705	69597
957	1707	69597
958	1709	69591
959	1711	69587
960	1712	69582
961	1714	69585
962	1716	69581
963	1718	69575
964	1719	69551
965	1721	69546
966	1722	69540
967	1724	69541
968	1726	69536
969	1728	69532
970	1729	69510
971	1731	69507
972	1732	69502
973	1734	69494
974	1736	69488
975	1737	69481
976	1739	69481
977	1741	69473
978	1742	69472
979	1744	69469
980	1746	69465
981	1748	69455
982	1749	69446
983	1751	69441
984	1752	69432
985	1754	69428
986	1756	69427
987	1758	69420
988	1759	69419
989	1761	69414
990	1763	69411
991	1765	69404
992	1766	69401
993	1768	69396
994	1770	69392
995	1771	69391
996	1773	69384
997	1775	69380
998	1777	69375
999	1778	69368
1000	1780	69365
1001	1782	69363
1002	1783	69352
1003	1785	69345
1004	1787	69341
1005	1788	69308
1006	1789	69309
1007	1791	69303
1008	1793	69302
1009	1795	69298
1010	1796	69291
1011	1798	69287
1012	1800	69285
1013	1801	69250
1014	1802	69244
1015	1804	69242
1016	1806	69244
1017	1808	69241
1018	1809	69237
1019	1811	69232
1020	1813	69225
1021	1814	69200
1022	1816	69197
1023	1817	69193
1024	1819	69197
1025	1821	69199
1026	1822	69178
1027	1824	69175
1028	1826	69171
1029	1828	69172
1030	1829	69163
1031	1831	69154
1032	1833	69147
1033	1834	69146
1034	1836	69140
1035	1838	69136
1036	1840	69134
1037	1841	69128
1038	1843	69124
1039	1845	69125
1040	1846	69117
1041	1848	69116
1042	1850	69112
1043	1852	69107
1044	1853	69103
1045	1855	69092
1046	1857	69097
1047	1858	69094
1048	1860	69090
1049	1862	69097
1050	1864	69092
1051	1866	69088
1052	1867	69075
1053	1869	69067
1054	1871	69068
1055	1872	69066
1056	1874	69066
1057	1876	69063
1058	1878	69058
1059	1879	69055
1060	1881	69047
1061	1883	69040
1062	1884	69036
1063	1886	69035
1064	1887	69000
1065	1889	69000
1066	1890	68994
1067	1892	68988
1068	1894	68989
1069	1896	68985
1070	1897	68982
1071	1899	68961
1072	1905	69134
1073	1907	69130
1074	1909	69124
1075	1910	69119
1076	1912	69111
1077	1914	69109
1078	1915	69104
1079	1917	69097
1080	1918	69089
1081	1920	69082
1082	1922	69076
1083	1924	69073
1084	1925	69069
1085	1927	69065
1086	1929	69064
1087	1930	69059
1088	1932	69062
1089	1934	69057
1090	1936	69052
1091	1937	69044
1092	1939	69039
1093	1941	69034
1094	1942	69030
1095	1943	69000
1096	1944	68969
1097	1946	68971
1098	1948	68964
1099	1950	68961
1100	1951	68954
1101	1953	68950
1102	1955	68949
1103	1957	68949
1104	1958	68943
1105	1960	68938
1106	1962	68933
1107	1963	68926
1108	1965	68920
1109	1966	68914
1110	1968	68913
1111	1970	68909
1112	1972	68908
1113	1973	68901
1114	1975	68896
1115	1977	68896
1116	1979	68894
